run,N,M,S,finZ,totIt,timefin,bestat,deadfrac,it99,s2tot,s4tot,s4per1k,stag,pmpeak,pmfin,ccpeak,ccfin,ccdeath,coll,coll_it,tmfin,stag_events
R5,150,3,20,4037.5271,20269,239.9,18889,0.06808426661404114,6410,1993944,12,0.5920371009916621,385,1684,244,,,,83,400,8,385
R5,150,3,30,3752.0508,18616,239.9,18392,0.012032660077352814,2020,1787483,16,0.8594757198109153,357,1713,252,,,,220,380,27,357
R5,150,6,10,6163.1157,10903,239.9,10716,0.01715124277721728,7010,1912541,38,3.4852792809318536,193,2230,520,,,,70,140,12,193
R5,150,6,20,6727.0889,11439,239.8,9824,0.14118366990121514,5720,1790041,43,3.7590698487630037,198,2451,506,,,,80,380,13,198
R5,150,6,30,6176.2314,11094,239.9,8737,0.21245718406345773,1990,1843604,22,1.9830539030106367,203,2389,524,,,,99,400,23,203
R5,150,9,10,8374.79,7793,239.9,6680,0.14282047991787503,4420,1643020,52,6.672654946747081,131,2847,750,,,,312,390,20,131
R5,150,9,20,8779.9209,7308,239.7,6907,0.05487137383689108,3250,1395776,101,13.820470717022442,114,3127,779,,,,110,400,24,117
R5,150,9,30,8220.752,7937,239.8,7190,0.09411616479778254,2720,1801441,56,7.055562555121583,133,2858,820,,,,77,140,24,133
R5,200,3,10,3795.4734,14748,239.8,7608,0.48413344182262,1860,1402522,18,1.2205044751830756,279,1631,299,,,,34,140,12,279
R5,200,3,20,3845.5781,14812,240.0,13637,0.07932757223872536,4740,1407243,15,1.0126924115581961,278,1582,310,,,,23,300,7,278
R5,200,3,30,4043.6062,14674,239.9,12732,0.13234291944936621,8710,1418518,12,0.8177729317159602,271,1557,293,,,,3,190,19,271
R5,200,6,10,6535.3481,7902,239.9,7262,0.08099215388509239,2740,1331070,31,3.923057453809162,133,2241,637,,,,57,130,29,133
R5,200,6,20,6575.5088,8160,240.0,7089,0.13125,4160,1244869,49,6.004901960784314,136,2230,652,,,,82,140,10,136
R5,200,6,30,6843.5654,7709,239.6,7609,0.012971851083149565,2010,1236224,22,2.8538072382929043,133,2247,559,,,,44,140,34,133
R5,200,9,10,8835.2598,5418,239.6,5402,0.0029531192321889995,3110,1112529,62,11.443337024732374,80,2800,935,,,,143,140,24,80
